"filename", "language", "JSON with Comments", "Log", "Python", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "TypeScript", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\micro\git\kiln-web\.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\micro\git\kiln-web\README - generate email list.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14
"c:\Users\micro\git\kiln-web\README.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
"c:\Users\micro\git\kiln-web\all_data.json", "JSON", 0, 0, 0, 0, 303850, 0, 0, 0, 0, 0, 0, 0, 0, 2, 303852
"c:\Users\micro\git\kiln-web\bullseye_inventory_data.json", "JSON", 0, 0, 0, 0, 33425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33425
"c:\Users\micro\git\kiln-web\bullseye_reaction_data.json", "JSON", 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 405
"c:\Users\micro\git\kiln-web\color_data.json", "JSON", 0, 0, 0, 0, 2797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2797
"c:\Users\micro\git\kiln-web\database-debug.log", "Log", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\micro\git\kiln-web\firebase.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 68, 1, 94
"c:\Users\micro\git\kiln-web\functions\.eslintrc.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 39, 37, 124
"c:\Users\micro\git\kiln-web\functions\hosting\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\micro\git\kiln-web\functions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 25, 14, 166
"c:\Users\micro\git\kiln-web\functions\package-lock.json", "JSON", 0, 0, 0, 0, 2754, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2755
"c:\Users\micro\git\kiln-web\functions\package.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\micro\git\kiln-web\generate_email_list.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\Users\micro\git\kiln-web\get_email_addresses_for_mailout.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 28
"c:\Users\micro\git\kiln-web\oceanside_inventory_data.json", "JSON", 0, 0, 0, 0, 3724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3724
"c:\Users\micro\git\kiln-web\oceanside_reaction_data.json", "JSON", 0, 0, 0, 0, 1302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1302
"c:\Users\micro\git\kiln-web\package-lock.json", "JSON", 0, 0, 0, 0, 47434, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47435
"c:\Users\micro\git\kiln-web\package.json", "JSON", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\Users\micro\git\kiln-web\parse_bullseye_files.py", "Python", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 32, 278
"c:\Users\micro\git\kiln-web\parse_oceanside_files.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 165
"c:\Users\micro\git\kiln-web\public\.well_known\assetlinks.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\micro\git\kiln-web\public\assetlinks.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\micro\git\kiln-web\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23, 2, 48
"c:\Users\micro\git\kiln-web\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\micro\git\kiln-web\src\.expo\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18
"c:\Users\micro\git\kiln-web\src\.expo\settings.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\micro\git\kiln-web\src\App.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\micro\git\kiln-web\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 19, 9, 270
