,,,8.5 Oz. Jar,F1-00-F-8,F2-00-F-8,F3-00-F-8,F5-00-F-8,F7-00-F-8
00-F,Clear,F-P,4 Lb. Jar,F1-00-F-4,F2-00-F-4,F3-00-F-4,F5-00-F-4,F7-00-F-4
,,,40 Lb. Bucket,F1-00-F-40,F2-00-F-40,F3-00-F-40,F5-00-F-40,F7-00-F-40
,,,8.5 Oz. Jar,N/A,N/A,F3-00-F-IR-8,F5-00-F-IR-8,F7-00-F-IR-8
00-F-IR,Clear Rainbow Irid,F-T,4 Lb. Jar,N/A,N/A,F3-00-F-IR-4,F5-00-F-IR-4,F7-00-F-IR-4
,,,40 Lb. Bucket,N/A,N/A,F3-00-F-IR-40,F5-00-F-IR-40,F7-00-F-IR-40
,,,8.5 Oz. Jar,F1-01-F-8,F2-01-F-8,F3-01-F-8,F5-01-F-8,F7-01-F-8
01-F,Crystal Clear,F-S,4 Lb. Jar,F1-01-F-4,F2-01-F-4,F3-01-F-4,F5-01-F-4,F7-01-F-4
,,,40 Lb. Bucket,F1-01-F-40,F2-01-F-40,F3-01-F-40,F5-01-F-40,F7-01-F-40
,,,8.5 Oz. Jar,F1-003-F-8,F2-003-F-8,F3-003-F-8,F5-003-F-8,F7-003-F-8
003-F,Red Reactive Transparent,F-S,4 Lb. Jar,F1-003-F-4,F2-003-F-4,F3-003-F-4,F5-003-F-4,F7-003-F-4
,,,40 Lb. Bucket,F1-003-F-40,F2-003-F-40,F3-003-F-40,F5-003-F-40,F7-003-F-40
,,,8.5 Oz. Jar,F1-045-F-8,F2-045-F-8,F3-045-F-8,F5-045-F-8,F7-045-F-8
045-F,Red Reactive Opal,F-S,4 Lb. Jar,F1-045-F-4,F2-045-F-4,F3-045-F-4,F5-045-F-4,F7-045-F-4
,,,40 Lb. Bucket,F1-045-F-40,F2-045-F-40,F3-045-F-40,F5-045-F-40,F7-045-F-40
,,,8.5 Oz. Jar,F1-078-F-8,F2-078-F-8,F3-078-F-8,F5-078-F-8,F7-078-F-8
078-F,Payne's Gray Opal,F-S,4 Lb. Jar,F1-078-F-4,F2-078-F-4,F3-078-F-4,F5-078-F-4,F7-078-F-4
,,,40 Lb. Bucket,F1-078-F-40,F2-078-F-40,F3-078-F-40,F5-078-F-40,F7-078-F-40
,,,8.5 Oz. Jar,F1-079-F-8,F2-079-F-8,F3-079-F-8,F5-079-F-8,F7-079-F-8
079-F,Chambray Opal,F-S,4 Lb. Jar,F1-079-F-4,F2-079-F-4,F3-079-F-4,F5-079-F-4,F7-079-F-4
,,,40 Lb. Bucket,F1-079-F-40,F2-079-F-40,F3-079-F-40,F5-079-F-40,F7-079-F-40
,,,8.5 Oz. Jar,F1-1101-F-8,F2-1101-F-8,F3-1101-F-8,F5-1101-F-8,F7-1101-F-8
1101-F,Palest Amber Transparent,F-S,4 Lb. Jar,F1-1101-F-4,F2-1101-F-4,F3-1101-F-4,F5-1101-F-4,F7-1101-F-4
,,,40 Lb. Bucket,F1-1101-F-40,F2-1101-F-40,F3-1101-F-40,F5-1101-F-40,F7-1101-F-40
,,,8.5 Oz. Jar,F1-1102-F-8,F2-1102-F-8,F3-1102-F-8,F5-1102-F-8,F7-1102-F-8
1102-F,Pale Amber Transparent,F-S,4 Lb. Jar,F1-1102-F-4,F2-1102-F-4,F3-1102-F-4,F5-1102-F-4,F7-1102-F-4
,,,40 Lb. Bucket,F1-1102-F-40,F2-1102-F-40,F3-1102-F-40,F5-1102-F-40,F7-1102-F-40
,,,8.5 Oz. Jar,F1-1108-F-8,F2-1108-F-8,F3-1108-F-8,F5-1108-F-8,F7-1108-F-8
1108-F,Medium Amber Transparent,F-S,4 Lb. Jar,F1-1108-F-4,F2-1108-F-4,F3-1108-F-4,F5-1108-F-4,F7-1108-F-4
,,,40 Lb. Bucket,F1-1108-F-40,F2-1108-F-40,F3-1108-F-40,F5-1108-F-40,F7-1108-F-40
,,,8.5 Oz. Jar,F1-111-F-8,F2-111-F-8,F3-111-F-8,F5-111-F-8,F7-111-F-8
111-F,Dark Amber Transparent,F-S,4 Lb. Jar,F1-111-F-4,F2-111-F-4,F3-111-F-4,F5-111-F-4,F7-111-F-4
,,,40 Lb. Bucket,F1-111-F-40,F2-111-F-40,F3-111-F-40,F5-111-F-40,F7-111-F-40
,,,8.5 Oz. Jar,F1-121-F-8,F2-121-F-8,F3-121-F-8,F5-121-F-8,F7-121-F-8
121-F,Light Green Transparent,F-S,4 Lb. Jar,F1-121-F-4,F2-121-F-4,F3-121-F-4,F5-121-F-4,F7-121-F-4
,,,40 Lb. Bucket,F1-121-F-40,F2-121-F-40,F3-121-F-40,F5-121-F-40,F7-121-F-40
,,,8.5 Oz. Jar,F1-125-F-8,F2-125-F-8,F3-125-F-8,F5-125-F-8,F7-125-F-8
125-F,Dark Green Transparent,F-S,4 Lb. Jar,F1-125-F-4,F2-125-F-4,F3-125-F-4,F5-125-F-4,F7-125-F-4
,,,40 Lb. Bucket,F1-125-F-40,F2-125-F-40,F3-125-F-40,F5-125-F-40,F7-125-F-40
,,,8.5 Oz. Jar,F1-128-F-8,F2-128-F-8,F3-128-F-8,F5-128-F-8,F7-128-F-8
128-F,Aventurine Green Transparent,F-S,4 Lb. Jar,F1-128-F-4,F2-128-F-4,F3-128-F-4,F5-128-F-4,F7-128-F-4
,,,40 Lb. Bucket,F1-128-F-40,F2-128-F-40,F3-128-F-40,F5-128-F-40,F7-128-F-40
,,,8.5 Oz. Jar,F1-1308-F-8,F2-1308-F-8,F3-1308-F-8,F5-1308-F-8,F7-1308-F-8
1308-F,Pale Blue Transparent,F-S,4 Lb. Jar,F1-1308-F-4,F2-1308-F-4,F3-1308-F-4,F5-1308-F-4,F7-1308-F-4
,,,40 Lb. Bucket,F1-1308-F-40,F2-1308-F-40,F3-1308-F-40,F5-1308-F-40,F7-1308-F-40
,,,8.5 Oz. Jar,F1-132-F-8,F2-132-F-8,F3-132-F-8,F5-132-F-8,F7-132-F-8
132-F,Light Blue Transparent,F-S,4 Lb. Jar,F1-132-F-4,F2-132-F-4,F3-132-F-4,F5-132-F-4,F7-132-F-4
,,,40 Lb. Bucket,F1-132-F-40,F2-132-F-40,F3-132-F-40,F5-132-F-40,F7-132-F-40
,,,8.5 Oz. Jar,F1-136-F-8,F2-136-F-8,F3-136-F-8,F5-136-F-8,F7-136-F-8
136-F,Dark Blue Transparent,F-S,4 Lb. Jar,F1-136-F-4,F2-136-F-4,F3-136-F-4,F5-136-F-4,F7-136-F-4
,,,40 Lb. Bucket,F1-136-F-40,F2-136-F-40,F3-136-F-40,F5-136-F-40,F7-136-F-40
,,,8.5 Oz. Jar,F1-138-F-8,F2-138-F-8,F3-138-F-8,F5-138-F-8,F7-138-F-8
138-F,Aventurine Blue Transparent,F-S,4 Lb. Jar,F1-138-F-4,F2-138-F-4,F3-138-F-4,F5-138-F-4,F7-138-F-4
,,,40 Lb. Bucket,F1-138-F-40,F2-138-F-40,F3-138-F-40,F5-138-F-40,F7-138-F-40
,,,8.5 Oz. Jar,F1-1408-F-8,F2-1408-F-8,F3-1408-F-8,F5-1408-F-8,F7-1408-F-8
1408-F,Pale Purple Transparent,F-S,4 Lb. Jar,F1-1408-F-4,F2-1408-F-4,F3-1408-F-4,F5-1408-F-4,F7-1408-F-4
